item_name,category,manufacturer,model,serial_number,scu_number,quantity,low_threshold,location,notes,is_active,source_url
12V Max Connected Green-Beam Cross-Line Laser,Laser Levels,Bosch,GLL3-330CG,BOSC-2026-0028-8880,TOOL-0028,16,5,"Row 8, Shelf 3",Keep in protective case.,True,https://www.boschtools.com/us/en/laser-levels-23517-ocs-c/
4-1/2 in. Angle Grinder,Grinders,Bosch,GWS8-45,BOSC-2026-0029-3561,TOOL-0029,1,1,"Row 9, Shelf 3",Sample warehouse inventory record.,True,https://www.boschtools.com/us/en/angle-grinders-23530-ocs-c/
10 in. Worksite Table Saw,Table Saws,Bosch,4100XC-10,BOSC-2026-0030-7820,TOOL-0030,11,3,"Row 10, Shelf 3",Sample warehouse inventory record.,True,https://www.boschtools.com/us/en/table-saws-23531-ocs-c/
12 in. Dual-Bevel Glide Miter Saw,Miter Saws,Bosch,GCM12SD,BOSC-2026-0031-4953,TOOL-0031,1,1,"Row 1, Shelf 4",Sample warehouse inventory record.,True,https://www.boschtools.com/us/en/miter-saws-23532-ocs-c/
18V Brushless Connected-Ready Hammer Drill,Cordless Drills,Bosch,GSB18V-755CB25,BOSC-2026-0032-2372,TOOL-0032,10,3,"Row 2, Shelf 4",Sample warehouse inventory record.,True,https://www.boschtools.com/us/en/drills-impact-drills-23524-ocs-c/
SDS Plus Rotary Hammer,Rotary Hammers,Hilti,TE 30-22,HILT-2026-0033-4679,TOOL-0033,10,3,"Row 3, Shelf 4",Inspect bit holder and cord or battery before use.,True,https://www.hilti.com/c/CLS_POWER_TOOLS_7125/CLS_ROTARY_HAMMERS_7125
SDS Max Demolition Hammer,Demolition Hammers,Hilti,TE 1000-AVR,HILT-2026-0034-7212,TOOL-0034,6,2,"Row 4, Shelf 4",Heavy equipment shelf. Two-person lift if boxed.,True,https://www.hilti.com/c/CLS_POWER_TOOLS_7125/CLS_DEMOLITION_HAMMER_BREAKER_SUB_7125
Cordless Drill Driver,Cordless Drills,Hilti,SF 6-22,HILT-2026-0035-1680,TOOL-0035,6,2,"Row 5, Shelf 4",Sample warehouse inventory record.,True,https://www.hilti.com/c/CLS_POWER_TOOLS_7125/CLS_DRILL_DRIVERS_SCREW_DRIVERS__7125
Cordless Impact Driver,Impact Drivers,Hilti,SID 6-22,HILT-2026-0036-7877,TOOL-0036,11,3,"Row 6, Shelf 4",Sample warehouse inventory record.,True,https://www.hilti.com/c/CLS_POWER_TOOLS_7125/CLS_IMPACT_DRIVERS_WRENCHES_7125
Cordless Cut-Off Saw,Concrete Saws,Hilti,DSH 600-22,HILT-2026-0037-3373,TOOL-0037,7,2,"Row 7, Shelf 4",Sample warehouse inventory record.,True,https://www.hilti.com/c/CLS_POWER_TOOLS_7125/CLS_CONCRETE_SAWS_7125
Multi-Directional Green Laser,Laser Levels,Hilti,PM 30-MG,HILT-2026-0038-8524,TOOL-0038,18,5,"Row 8, Shelf 4",Keep in protective case.,True,https://www.hilti.com/c/CLS_MEA_TOOL_INSERT_7127/CLS_LINE_POINT_LASERS_7127
Cordless Adhesive Dispenser,Anchoring Tools,Hilti,CD 4-22,HILT-2026-0039-5712,TOOL-0039,14,4,"Row 9, Shelf 4",Sample warehouse inventory record.,True,https://www.hilti.com/c/CLS_POWER_TOOLS_7125
Cordless Construction Vacuum,Vacuum Systems,Hilti,VC 5-22,HILT-2026-0040-4419,TOOL-0040,16,5,"Row 10, Shelf 4",Sample warehouse inventory record.,True,https://www.hilti.com/c/CLS_DUST_WATER_MANAGEMENT_7125
18 in. Heavy-Duty Straight Pipe Wrench,Pipe Wrenches,RIDGID,31025,RIDG-2026-0041-4897,TOOL-0041,2,1,"Row 1, Shelf 5",Sample warehouse inventory record.,True,https://www.ridgid.com/us/en/straight-pipe-wrench
24 in. Heavy-Duty Straight Pipe Wrench,Pipe Wrenches,RIDGID,31030,RIDG-2026-0042-7063,TOOL-0042,11,3,"Row 2, Shelf 5",Sample warehouse inventory record.,True,https://www.ridgid.com/us/en/straight-pipe-wrench
K-400 Drum Machine,Drain Cleaning,RIDGID,52363,RIDG-2026-0043-6387,TOOL-0043,2,1,"Row 3, Shelf 5",Clean and dry cable before returning to storage.,True,https://www.ridgid.com/us/en/k400-drum-machine
Model 535A Automatic Threading Machine,Pipe Threading,RIDGID,535A,RIDG-2026-0044-3664,TOOL-0044,6,2,"Row 4, Shelf 5",Machine station inventory item.,True,https://www.ridgid.com/us/en/535a-automatic-threading-machine
micro CA-25 Inspection Camera,Inspection Cameras,RIDGID,40043,RIDG-2026-0045-7428,TOOL-0045,1,1,"Row 5, Shelf 5",Recharge battery after use.,True,https://www.ridgid.com/us/en/micro-ca25-digital-inspection-camera
Constant Swing Tubing Cutter,Tubing Cutters,RIDGID,151,RIDG-2026-0046-1786,TOOL-0046,10,3,"Row 6, Shelf 5",Sample warehouse inventory record.,True,https://www.ridgid.com/us/en/constant-swing-cutters
RP 350 Press Tool,Press Tools,RIDGID,RP350,RIDG-2026-0047-8516,TOOL-0047,7,2,"Row 7, Shelf 5",Sample warehouse inventory record.,True,https://www.ridgid.com/us/en/rp-350-press-tool
16 Gallon Wet/Dry Shop Vacuum,Wet Dry Vacuums,RIDGID,HD1800,RIDG-2026-0048-2770,TOOL-0048,7,2,"Row 8, Shelf 5",Sample warehouse inventory record.,True,https://www.ridgid.com/us/en/wet-dry-vacs
9 in. High-Leverage Lineman's Pliers,Pliers,Klein Tools,D213-9NE,KLEI-2026-0049-4493,TOOL-0049,10,3,"Row 9, Shelf 5",Sample warehouse inventory record.,True,https://www.kleintools.com/catalog/linemans-pliers
Klein-Kurve Wire Stripper/Cutter,Wire Strippers,Klein Tools,11055,KLEI-2026-0050-2718,TOOL-0050,9,3,"Row 10, Shelf 5",Sample warehouse inventory record.,True,https://www.kleintools.com/catalog/wire-strippers-cutters
Non-Contact Voltage Tester,Electrical Testers,Klein Tools,NCVT-2P,KLEI-2026-0051-5869,TOOL-0051,3,1,"Row 1, Shelf 1",Store in electrical test cabinet when not checked out.,True,https://www.kleintools.com/catalog/electrical-testers
Digital Clamp Meter,Clamp Meters,Klein Tools,CL800,KLEI-2026-0052-2196,TOOL-0052,4,1,"Row 2, Shelf 1",Calibration check required before field use.,True,https://www.kleintools.com/catalog/clamp-meters
50 ft. Steel Fish Tape,Fish Tapes,Klein Tools,56001,KLEI-2026-0053-9022,TOOL-0053,5,1,"Row 3, Shelf 1",Sample warehouse inventory record.,True,https://www.kleintools.com/catalog/fish-tapes
Tradesman Pro Tool Master Backpack,Tool Bags,Klein Tools,55485,KLEI-2026-0054-5227,TOOL-0054,6,2,"Row 4, Shelf 1",Sample warehouse inventory record.,True,https://www.kleintools.com/catalog/tool-backpacks
11-in-1 Multi-Bit Screwdriver,Screwdrivers,Klein Tools,32500,KLEI-2026-0055-4767,TOOL-0055,7,2,"Row 5, Shelf 1",Sample warehouse inventory record.,True,https://www.kleintools.com/catalog/multi-bit-screwdrivers
High-Leverage Cable Cutter,Cable Cutters,Klein Tools,63050,KLEI-2026-0056-7345,TOOL-0056,16,5,"Row 6, Shelf 1",Sample warehouse inventory record.,True,https://www.kleintools.com/catalog/cable-cutters
True-RMS Digital Multimeter,Digital Multimeters,Fluke,179,FLUK-2026-0057-6181,TOOL-0057,11,3,"Row 7, Shelf 1",Calibration check required before field use.,True,https://www.fluke.com/en-ca/product/electrical-testing/digital-multimeters/fluke-179
Industrial Multimeter,Digital Multimeters,Fluke,83V,FLUK-2026-0058-1057,TOOL-0058,14,4,"Row 8, Shelf 1",Calibration check required before field use.,True,https://www.fluke.com/en-us/products/electrical-testing/digital-multimeters
True-RMS Digital Multimeter,Digital Multimeters,Fluke,177,FLUK-2026-0059-3753,TOOL-0059,14,4,"Row 9, Shelf 1",Calibration check required before field use.,True,https://www.fluke.com/vi-vn/product/electrical-testing/digital-multimeters/fluke-177
Pocket Digital Multimeter,Digital Multimeters,Fluke,107,FLUK-2026-0060-2342,TOOL-0060,4,1,"Row 10, Shelf 1",Calibration check required before field use.,True,https://www.fluke.com/en-ca/product/electrical-testing/digital-multimeters/fluke-107
Digital Multimeter,Digital Multimeters,Fluke,101,FLUK-2026-0061-2055,TOOL-0061,11,3,"Row 1, Shelf 2",Calibration check required before field use.,True,https://www.fluke.com/en-vn/product/electrical-testing/digital-multimeters/fluke-101
True-RMS AC/DC Clamp Meter,Clamp Meters,Fluke,376 FC,FLUK-2026-0062-6004,TOOL-0062,7,2,"Row 2, Shelf 2",Calibration check required before field use.,True,https://www.fluke.com/en-us/products/electrical-testing/clamp-meters
Visual IR Thermometer,Infrared Thermometers,Fluke,VT04A,FLUK-2026-0063-1739,TOOL-0063,14,4,"Row 3, Shelf 2",Sample warehouse inventory record.,True,https://www.fluke.com/en-us/products/thermal-cameras
Electrical Tester,Electrical Testers,Fluke,T6-1000 PRO,FLUK-2026-0064-6477,TOOL-0064,7,2,"Row 4, Shelf 2",Store in electrical test cabinet when not checked out.,True,https://www.fluke.com/en-us/products/electrical-testing/basic-testers
25 ft. PowerLock Tape Measure,Tape Measures,STANLEY,33-425,STAN-2026-0065-4695,TOOL-0065,3,1,"Row 5, Shelf 2",Sample warehouse inventory record.,True,https://www.stanleytools.com/product/33-425/25-ft-powerlock-tape-measure
16 ft. PowerLock Tape Measure,Tape Measures,STANLEY,33-116,STAN-2026-0066-1955,TOOL-0066,10,3,"Row 6, Shelf 2",Sample warehouse inventory record.,True,https://www.stanleytools.com/product/33-116/16-ft-powerlock-tape-measure
FATMAX 25 ft. Premium Tape,Tape Measures,STANLEY,FMHT38325S,STAN-2026-0067-5136,TOOL-0067,14,4,"Row 7, Shelf 2",Sample warehouse inventory record.,True,https://www.stanleytools.com/product/fmht38325s/stanley-fatmax-25-ft-x-1-14-premium-tape
25 ft. Tape Measure,Tape Measures,STANLEY,30-455,STAN-2026-0068-3003,TOOL-0068,1,1,"Row 8, Shelf 2",Sample warehouse inventory record.,True,https://www.stanleytools.com/product/30-455/25-ft-stanley-tape-measure
30 ft. Tape Measure,Tape Measures,STANLEY,30-464,STAN-2026-0069-1823,TOOL-0069,8,2,"Row 9, Shelf 2",Sample warehouse inventory record.,True,https://www.stanleytools.com/product/30-464/30-ft-stanley-tape-measure
48 in. Box Beam Level,Levels,STANLEY,STHT42496,STAN-2026-0070-2034,TOOL-0070,5,1,"Row 10, Shelf 2",Sample warehouse inventory record.,True,https://www.stanleytools.com/products/hand-tools/measure-and-layout-tools/levels
Quick Square,Squares,STANLEY,46-053,STAN-2026-0071-3296,TOOL-0071,4,1,"Row 1, Shelf 3",Sample warehouse inventory record.,True,https://www.stanleytools.com/products/hand-tools/measure-and-layout-tools/squares
FATMAX Retractable Utility Knife,Utility Knives,STANLEY,10-778,STAN-2026-0072-7652,TOOL-0072,4,1,"Row 2, Shelf 3",Sample warehouse inventory record.,True,https://www.stanleytools.com/products/hand-tools/cutting-tools/utility-knives
22 oz. Smooth Face Framing Hammer,Hammers,Estwing,E3-22S,ESTW-2026-0073-8593,TOOL-0073,16,5,"Row 3, Shelf 3",Sample warehouse inventory record.,True,https://www.estwing.com/product-category/hammers/framing-hammers/
20 oz. Straight Claw Hammer,Hammers,Estwing,E3-20S,ESTW-2026-0074-2648,TOOL-0074,15,5,"Row 4, Shelf 3",Sample warehouse inventory record.,True,https://www.estwing.com/product-category/hammers/claw-hammers/
16 oz. Curved Claw Hammer,Hammers,Estwing,E3-16C,ESTW-2026-0075-9265,TOOL-0075,17,5,"Row 5, Shelf 3",Sample warehouse inventory record.,True,https://www.estwing.com/product-category/hammers/claw-hammers/
15 in. Pro-Claw Nail Puller,Pry Bars,Estwing,PC210G,ESTW-2026-0076-3165,TOOL-0076,2,1,"Row 6, Shelf 3",Sample warehouse inventory record.,True,https://www.estwing.com/product-category/pry-bars/
Sportsman's Axe,Axes,Estwing,E24A,ESTW-2026-0077-8070,TOOL-0077,4,1,"Row 7, Shelf 3",Sample warehouse inventory record.,True,https://www.estwing.com/product-category/axes/
22 oz. Bricklayer's Hammer,Masonry Tools,Estwing,E3-22BLC,ESTW-2026-0078-5229,TOOL-0078,10,3,"Row 8, Shelf 3",Sample warehouse inventory record.,True,https://www.estwing.com/product-category/masonry-tools/
4 lb. Sure Strike Drilling Hammer,Sledge Hammers,Estwing,MRF4LB,ESTW-2026-0079-5978,TOOL-0079,3,1,"Row 9, Shelf 3",Sample warehouse inventory record.,True,https://www.estwing.com/product-category/sledge-hammers/
14 oz. Ultra Series Hammer,Hammers,Estwing,E6-14P,ESTW-2026-0080-7886,TOOL-0080,18,5,"Row 10, Shelf 3",Sample warehouse inventory record.,True,https://www.estwing.com/product-category/hammers/
